"Market","Ticker","Alpha","Beta","R2","Prob_F","Significant","N_obs"
"USA","AAPL",0.000385,1.212,0.5998,0,"*** (1%)",2009
"USA","MSFT",0.000357,1.1734,0.6624,0,"*** (1%)",2009
"USA","JPM",0.000159,1.0619,0.5179,0,"*** (1%)",2009
"USA","JNJ",9.3e-05,0.4613,0.2137,0,"*** (1%)",2009
"USA","XOM",-2.1e-05,0.8104,0.2786,0,"*** (1%)",2009
"USA","KO",8.9e-05,0.5338,0.2929,0,"*** (1%)",2009
"USA","BA",-0.000783,1.3999,0.3704,0,"*** (1%)",2009
"USA","GS",0.000156,1.1762,0.5579,0,"*** (1%)",2009
"USA","PG",0.000107,0.4906,0.2331,0,"*** (1%)",2009
"USA","AMZN",0.000129,1.1757,0.4514,0,"*** (1%)",2009
"France","MC.PA",0.000279,1.2228,0.607,0,"*** (1%)",2045
"France","TTE.PA",0.000116,1.0127,0.4467,0,"*** (1%)",2045
"France","SAN.PA",0.00012,0.5077,0.1759,0,"*** (1%)",2045
"France","BNP.PA",8.5e-05,1.3025,0.5758,0,"*** (1%)",2045
"France","AIR.PA",0.000169,1.4513,0.5339,0,"*** (1%)",2045
"France","OR.PA",0.000221,0.8383,0.4422,0,"*** (1%)",2045
"France","SU.PA",0.000422,1.1763,0.594,0,"*** (1%)",2045
"France","DG.PA",5e-05,1.147,0.6188,0,"*** (1%)",2045
"France","RI.PA",-0.000325,0.6993,0.3347,0,"*** (1%)",2045
"France","CAP.PA",2.6e-05,1.052,0.4237,0,"*** (1%)",2045
"Brazil","PETR4.SA",0.000499,1.3113,0.5232,0,"*** (1%)",1985
"Brazil","VALE3.SA",0.000292,0.8926,0.3457,0,"*** (1%)",1985
"Brazil","ITUB4.SA",9.6e-05,0.9647,0.5828,0,"*** (1%)",1985
"Brazil","BBDC4.SA",-0.000225,1.1259,0.5874,0,"*** (1%)",1985
"Brazil","ABEV3.SA",-0.000256,0.6695,0.32,0,"*** (1%)",1985
"Brazil","WEGE3.SA",0.000622,0.7604,0.2648,0,"*** (1%)",1985
"Brazil","SUZB3.SA",0.000478,0.3171,0.0405,0,"*** (1%)",1985
"Brazil","RENT3.SA",-2.9e-05,1.2764,0.4743,0,"*** (1%)",1985
"Turkey","GARAN.IS",0.000132,1.1395,0.4824,0,"*** (1%)",1972
"Turkey","AKBNK.IS",-0.000249,1.2066,0.5444,0,"*** (1%)",1972
"Turkey","EREGL.IS",-3e-06,0.9647,0.4465,0,"*** (1%)",1974
"Turkey","BIMAS.IS",0.000654,0.7243,0.3152,0,"*** (1%)",1972
"Turkey","THYAO.IS",0.000179,1.1447,0.5288,0,"*** (1%)",1972
"Turkey","ASELS.IS",0.000525,1.0359,0.4254,0,"*** (1%)",1972
"Turkey","KCHOL.IS",-4.5e-05,1.0902,0.6076,0,"*** (1%)",1972
"Turkey","SISE.IS",-2.5e-05,1.0312,0.5256,0,"*** (1%)",1972
"Turkey","TUPRS.IS",0.00051,0.9244,0.415,0,"*** (1%)",1972
"Turkey","FROTO.IS",0.000448,0.9347,0.3593,0,"*** (1%)",1974
